Season,Week,Name,Judge_Raw_Score,Mode,Est_Fan_Percent_Mean,Est_Fan_Percent_Std,Acceptance_Rate,Actual_Result,Judge_Rank_Points,Judge_Percent
3,2,Mario Lopez,21.0,percentage,10.77,3.82,11.26,Safe,,9.13
3,2,Emmitt Smith,24.0,percentage,10.18,3.93,11.26,Safe,,10.43
3,2,Shanna Moakler,22.0,percentage,4.57,1.33,11.26,Eliminated,,9.57
3,2,Willa Ford,23.0,percentage,10.36,3.89,11.26,Safe,,10.0
3,2,Sara Evans,21.0,percentage,11.39,4.03,11.26,Safe,,9.13
3,2,Jerry Springer,19.0,percentage,11.51,3.89,11.26,Safe,,8.26
3,3,Harry Hamlin,22.0,percentage,5.51,1.5,10.94,Eliminated,,10.63
3,3,Vivica A. Fox,27.0,percentage,10.93,4.22,10.94,Safe,,13.04
3,3,Monique Coleman,27.0,percentage,10.95,4.18,10.94,Safe,,13.04
3,3,Joey Lawrence,22.0,percentage,11.42,3.92,10.94,Safe,,10.63
3,3,Mario Lopez,22.0,percentage,12.1,4.08,10.94,Safe,,10.63
3,3,Emmitt Smith,19.0,percentage,12.31,3.82,10.94,Safe,,9.18
3,3,Willa Ford,22.0,percentage,11.73,4.04,10.94,Safe,,10.63
3,3,Sara Evans,25.0,percentage,12.26,4.36,10.94,Safe,,12.08
3,3,Jerry Springer,21.0,percentage,12.8,4.17,10.94,Safe,,10.14
3,4,Vivica A. Fox,24.0,percentage,6.34,1.7,18.04,Eliminated,,12.12
3,4,Monique Coleman,24.0,percentage,12.6,4.01,18.04,Safe,,12.12
3,4,Joey Lawrence,27.0,percentage,12.57,4.31,18.04,Safe,,13.64
3,4,Mario Lopez,29.0,percentage,13.02,4.53,18.04,Safe,,14.65
3,4,Emmitt Smith,24.0,percentage,13.76,4.42,18.04,Safe,,12.12
3,4,Willa Ford,28.0,percentage,12.72,4.43,18.04,Safe,,14.14
3,4,Sara Evans,20.0,percentage,14.49,4.11,18.04,Safe,,10.1
3,4,Jerry Springer,22.0,percentage,14.51,4.38,18.04,Safe,,11.11
3,5,Monique Coleman,27.0,percentage,14.39,4.31,13.82,Safe,,14.92
3,5,Joey Lawrence,25.0,percentage,14.86,4.17,13.82,Safe,,13.81
3,5,Mario Lopez,27.0,percentage,14.79,4.43,13.82,Safe,,14.92
3,5,Emmitt Smith,27.0,percentage,15.41,4.55,13.82,Safe,,14.92
3,5,Willa Ford,27.0,percentage,7.41,1.8,13.82,Eliminated,,14.92
3,5,Sara Evans,24.0,percentage,16.55,4.53,13.82,Safe,,13.26
3,5,Jerry Springer,24.0,percentage,16.59,4.5,13.82,Safe,,13.26
3,6,Monique Coleman,23.0,percentage,18.93,5.49,100.0,Safe,,19.49
3,6,Joey Lawrence,24.0,percentage,19.53,5.56,100.0,Safe,,20.34
3,6,Mario Lopez,28.0,percentage,19.47,5.55,100.0,Safe,,23.73
3,6,Emmitt Smith,25.0,percentage,20.27,5.65,100.0,Safe,,21.19
3,6,Jerry Springer,18.0,percentage,21.81,5.78,100.0,Safe,,15.25
3,7,Monique Coleman,27.0,percentage,20.96,4.81,27.28,Safe,,20.0
3,7,Joey Lawrence,28.5,percentage,20.97,5.04,27.28,Safe,,21.11
3,7,Mario Lopez,28.0,percentage,21.08,5.01,27.28,Safe,,20.74
3,7,Emmitt Smith,28.5,percentage,21.47,5.14,27.28,Safe,,21.11
3,7,Jerry Springer,23.0,percentage,15.53,2.8,27.28,Eliminated,,17.04
3,8,Monique Coleman,26.5,percentage,18.5,3.05,29.69,Eliminated,,24.31
3,8,Joey Lawrence,27.0,percentage,27.13,5.02,29.69,Safe,,24.77
3,8,Mario Lopez,28.5,percentage,26.74,5.21,29.69,Safe,,26.15
3,8,Emmitt Smith,27.0,percentage,27.63,5.15,29.69,Safe,,24.77
3,9,Joey Lawrence,29.5,percentage,33.32,6.64,100.0,Safe,,33.33
3,9,Mario Lopez,29.5,percentage,32.8,6.59,100.0,Safe,,33.33
3,9,Emmitt Smith,29.5,percentage,33.88,6.64,100.0,Safe,,33.33
3,10,Mario Lopez,29.666600000000003,percentage,49.2,7.0,100.0,Safe,,50.0
3,10,Emmitt Smith,29.666600000000003,percentage,50.8,7.0,100.0,Safe,,50.0
4,1,John Ratzenberger,17.0,percentage,9.1,8.3,100.0,Safe,,8.25
4,1,Ian Ziering,21.0,percentage,9.09,8.28,100.0,Safe,,10.19
4,1,Clyde Drexler,16.0,percentage,9.07,8.26,100.0,Safe,,7.77
4,1,Laila Ali,23.0,percentage,9.09,8.27,100.0,Safe,,11.17
4,1,Apolo Anton Ohno,21.0,percentage,9.11,8.31,100.0,Safe,,10.19
4,1,Shandi Finnessey,19.0,percentage,9.1,8.32,100.0,Safe,,9.22
4,1,Paulina Porizkova,19.0,percentage,9.06,8.26,100.0,Safe,,9.22
4,1,Heather Mills,18.0,percentage,9.12,8.32,100.0,Safe,,8.74
4,1,Billy Ray Cyrus,13.0,percentage,9.1,8.27,100.0,Safe,,6.31
4,1,Joey Fatone,24.0,percentage,9.09,8.34,100.0,Safe,,11.65
4,1,Leeza Gibbons,15.0,percentage,9.07,8.29,100.0,Safe,,7.28
4,2,John Ratzenberger,21.0,percentage,9.75,3.75,11.11,Safe,,8.57
4,2,Ian Ziering,22.0,percentage,9.59,3.82,11.11,Safe,,8.98
4,2,Clyde Drexler,18.0,percentage,10.2,3.65,11.11,Safe,,7.35
4,2,Laila Ali,27.0,percentage,9.2,3.98,11.11,Safe,,11.02
4,2,Apolo Anton Ohno,26.0,percentage,9.18,3.91,11.11,Safe,,10.61
4,2,Shandi Finnessey,20.0,percentage,9.87,3.73,11.11,Safe,,8.16
4,2,Paulina Porizkova,21.0,percentage,3.9,1.21,11.11,Eliminated,,8.57
4,2,Heather Mills,24.0,percentage,9.39,3.91,11.11,Safe,,9.8
4,2,Billy Ray Cyrus,21.0,percentage,9.71,3.78,11.11,Safe,,8.57
4,2,Joey Fatone,24.0,percentage,9.47,3.89,11.11,Safe,,9.8
4,2,Leeza Gibbons,21.0,percentage,9.74,3.77,11.11,Safe,,8.57
4,3,John Ratzenberger,20.0,percentage,11.0,3.91,9.8,Safe,,9.17
4,3,Ian Ziering,24.0,percentage,10.37,4.07,9.8,Safe,,11.01
4,3,Clyde Drexler,16.0,percentage,12.19,3.81,9.8,Safe,,7.34
4,3,Laila Ali,21.0,percentage,10.34,3.81,9.8,Safe,,9.63
4,3,Apolo Anton Ohno,23.0,percentage,10.01,3.9,9.8,Safe,,10.55
4,3,Shandi Finnessey,21.0,percentage,4.59,1.32,9.8,Eliminated,,9.63
4,3,Heather Mills,24.0,percentage,10.12,3.98,9.8,Safe,,11.01
4,3,Billy Ray Cyrus,21.0,percentage,10.73,3.94,9.8,Safe,,9.63
4,3,Joey Fatone,24.0,percentage,10.17,4.0,9.8,Safe,,11.01
4,3,Leeza Gibbons,24.0,percentage,10.5,4.08,9.8,Safe,,11.01
4,4,John Ratzenberger,16.0,percentage,12.87,4.12,27.7,Safe,,8.42
4,4,Ian Ziering,24.0,percentage,11.12,4.31,27.7,Safe,,12.63
4,4,Clyde Drexler,15.0,percentage,13.93,4.3,27.7,Safe,,7.89
4,4,Laila Ali,21.0,percentage,11.41,4.2,27.7,Safe,,11.05
4,4,Apolo Anton Ohno,26.0,percentage,10.64,4.28,27.7,Safe,,13.68
4,4,Heather Mills,23.0,percentage,10.96,4.25,27.7,Safe,,12.11
4,4,Billy Ray Cyrus,21.0,percentage,11.75,4.32,27.7,Safe,,11.05
4,4,Joey Fatone,28.0,percentage,10.76,4.33,27.7,Safe,,14.74
4,4,Leeza Gibbons,16.0,percentage,6.57,1.84,27.7,Eliminated,,8.42
4,5,John Ratzenberger,18.0,percentage,14.91,4.56,28.48,Safe,,10.23
4,5,Ian Ziering,24.0,percentage,12.41,4.45,28.48,Safe,,13.64
4,5,Clyde Drexler,13.0,percentage,9.76,2.24,28.48,Eliminated,,7.39
4,5,Laila Ali,28.0,percentage,12.48,4.61,28.48,Safe,,15.91
4,5,Apolo Anton Ohno,30.0,percentage,11.63,4.47,28.48,Safe,,17.05
4,5,Heather Mills,21.0,percentage,12.66,4.25,28.48,Safe,,11.93
4,5,Billy Ray Cyrus,17.0,percentage,14.17,4.28,28.48,Safe,,9.66
4,5,Joey Fatone,25.0,percentage,11.98,4.45,28.48,Safe,,14.2
4,6,John Ratzenberger,19.0,percentage,18.08,4.58,19.61,Safe,,11.18
4,6,Ian Ziering,24.0,percentage,14.91,4.37,19.61,Safe,,14.12
4,6,Laila Ali,28.0,percentage,14.3,4.58,19.61,Safe,,16.47
4,6,Apolo Anton Ohno,28.0,percentage,13.45,4.41,19.61,Safe,,16.47
4,6,Heather Mills,23.0,percentage,8.33,1.98,19.61,Eliminated,,13.53
4,6,Billy Ray Cyrus,21.0,percentage,16.99,4.56,19.61,Safe,,12.35
4,6,Joey Fatone,27.0,percentage,13.94,4.42,19.61,Safe,,15.88
4,7,John Ratzenberger,22.5,percentage,12.12,2.26,13.26,Eliminated,,14.56
4,7,Ian Ziering,27.0,percentage,17.62,4.76,13.26,Safe,,17.48
4,7,Laila Ali,29.5,percentage,16.47,4.76,13.26,Safe,,19.09
4,7,Apolo Anton Ohno,27.0,percentage,16.27,4.39,13.26,Safe,,17.48
4,7,Billy Ray Cyrus,19.0,percentage,21.35,4.52,13.26,Safe,,12.3
4,7,Joey Fatone,29.5,percentage,16.18,4.66,13.26,Safe,,19.09
4,8,Ian Ziering,23.5,percentage,22.39,4.93,25.05,Safe,,18.73
4,8,Laila Ali,26.5,percentage,20.46,4.89,25.05,Safe,,21.12
4,8,Apolo Anton Ohno,29.0,percentage,19.72,5.08,25.05,Safe,,23.11
4,8,Billy Ray Cyrus,19.0,percentage,17.45,2.86,25.05,Eliminated,,15.14
4,8,Joey Fatone,27.5,percentage,19.97,4.98,25.05,Safe,,21.91
4,9,Ian Ziering,29.0,percentage,19.06,2.84,17.83,Eliminated,,24.47
4,9,Laila Ali,30.0,percentage,27.23,4.98,17.83,Safe,,25.32
4,9,Apolo Anton Ohno,29.5,percentage,26.85,4.81,17.83,Safe,,24.89
4,9,Joey Fatone,30.0,percentage,26.87,4.87,17.83,Safe,,25.32
4,10,Laila Ali,28.333200000000005,percentage,33.64,6.64,100.0,Safe,,32.82
4,10,Apolo Anton Ohno,29.3332,percentage,33.18,6.6,100.0,Safe,,33.98
4,10,Joey Fatone,28.6665,percentage,33.17,6.61,100.0,Safe,,33.2
5,1,Cameron Mathison,21.0,percentage,8.99,8.05,26.1,Safe,,8.17
5,1,Jane Seymour,24.0,percentage,8.75,7.99,26.1,Safe,,9.34
5,1,Sabrina Bryan,26.0,percentage,8.83,8.09,26.1,Safe,,10.12
5,1,Jennie Garth,21.0,percentage,8.98,7.96,26.1,Safe,,8.17
5,1,Floyd Mayweather Jr. ,18.0,percentage,9.48,7.92,26.1,Safe,,7.0
5,1,Josie Maran,16.0,percentage,1.45,1.04,26.1,Eliminated,,6.23
5,1,Albert Reed,21.0,percentage,8.95,7.95,26.1,Safe,,8.17
5,1,Helio Castroneves,25.0,percentage,8.73,7.97,26.1,Safe,,9.73
5,1,Mel B,24.0,percentage,8.73,8.01,26.1,Safe,,9.34
5,1,Wayne Newton,19.0,percentage,9.22,7.98,26.1,Safe,,7.39
5,1,Marie Osmond,21.0,percentage,8.92,7.94,26.1,Safe,,8.17
5,1,Mark Cuban,21.0,percentage,8.96,8.0,26.1,Safe,,8.17
5,2,Cameron Mathison,21.0,percentage,9.58,3.79,8.64,Safe,,8.82
5,2,Jane Seymour,21.0,percentage,9.48,3.7,8.64,Safe,,8.82
5,2,Sabrina Bryan,26.0,percentage,9.02,3.86,8.64,Safe,,10.92
5,2,Jennie Garth,21.0,percentage,9.67,3.78,8.64,Safe,,8.82
5,2,Floyd Mayweather Jr. ,21.0,percentage,10.01,3.94,8.64,Safe,,8.82
5,2,Albert Reed,21.0,percentage,3.75,1.17,8.64,Eliminated,,8.82
5,2,Helio Castroneves,27.0,percentage,8.89,3.92,8.64,Safe,,11.34
5,2,Mel B,23.0,percentage,9.16,3.75,8.64,Safe,,9.66
5,2,Wayne Newton,15.0,percentage,11.07,3.57,8.64,Safe,,6.3
5,2,Marie Osmond,24.0,percentage,9.22,3.84,8.64,Safe,,10.08
5,2,Mark Cuban,18.0,percentage,10.16,3.61,8.64,Safe,,7.56
5,3,Cameron Mathison,23.0,percentage,10.68,4.04,17.85,Safe,,9.62
5,3,Jane Seymour,27.0,percentage,10.16,4.12,17.85,Safe,,11.3
5,3,Sabrina Bryan,27.0,percentage,9.77,4.08,17.85,Safe,,11.3
5,3,Jennie Garth,26.0,percentage,10.48,4.13,17.85,Safe,,10.88
5,3,Floyd Mayweather Jr. ,21.0,percentage,11.33,4.06,17.85,Safe,,8.79
5,3,Helio Castroneves,24.0,percentage,9.97,3.95,17.85,Safe,,10.04
5,3,Mel B,27.0,percentage,9.91,4.05,17.85,Safe,,11.3
5,3,Wayne Newton,18.0,percentage,6.1,1.56,17.85,Eliminated,,7.53
5,3,Marie Osmond,26.0,percentage,10.06,4.11,17.85,Safe,,10.88
5,3,Mark Cuban,20.0,percentage,11.54,4.03,17.85,Safe,,8.37
5,4,Cameron Mathison,27.0,percentage,11.98,4.29,14.2,Safe,,11.54
5,4,Jane Seymour,26.0,percentage,11.65,4.15,14.2,Safe,,11.11
5,4,Sabrina Bryan,30.0,percentage,10.81,4.19,14.2,Safe,,12.82
5,4,Jennie Garth,27.0,percentage,11.77,4.27,14.2,Safe,,11.54
5,4,Floyd Mayweather Jr. ,23.0,percentage,6.2,1.57,14.2,Eliminated,,9.83
5,4,Helio Castroneves,27.0,percentage,11.34,4.09,14.2,Safe,,11.54
5,4,Mel B,26.0,percentage,11.37,4.0,14.2,Safe,,11.11
5,4,Marie Osmond,26.0,percentage,11.51,4.07,14.2,Safe,,11.11
5,4,Mark Cuban,22.0,percentage,13.38,4.25,14.2,Safe,,9.4
5,5,Cameron Mathison,26.0,percentage,13.43,4.44,14.37,Safe,,13.07
5,5,Jane Seymour,26.0,percentage,13.15,4.4,14.37,Safe,,13.07
5,5,Sabrina Bryan,28.0,percentage,12.15,4.31,14.37,Safe,,14.07
5,5,Jennie Garth,25.0,percentage,13.39,4.39,14.37,Safe,,12.56
5,5,Helio Castroneves,23.0,percentage,13.39,4.16,14.37,Safe,,11.56
5,5,Mel B,29.0,percentage,12.6,4.47,14.37,Safe,,14.57
5,5,Marie Osmond,21.0,percentage,13.98,4.09,14.37,Safe,,10.55
5,5,Mark Cuban,21.0,percentage,7.9,1.83,14.37,Eliminated,,10.55
5,6,Cameron Mathison,25.0,percentage,15.53,4.53,21.28,Safe,,13.89
5,6,Jane Seymour,22.0,percentage,16.01,4.26,21.28,Safe,,12.22
5,6,Sabrina Bryan,25.0,percentage,7.87,1.96,21.28,Eliminated,,13.89
5,6,Jennie Garth,27.0,percentage,15.15,4.62,21.28,Safe,,15.0
5,6,Helio Castroneves,28.0,percentage,15.02,4.69,21.28,Safe,,15.56
5,6,Mel B,30.0,percentage,14.03,4.59,21.28,Safe,,16.67
5,6,Marie Osmond,23.0,percentage,16.39,4.51,21.28,Safe,,12.78
5,7,Cameron Mathison,25.5,percentage,18.28,4.71,16.7,Safe,,16.35
5,7,Jane Seymour,25.0,percentage,10.66,2.18,16.7,Eliminated,,16.03
5,7,Jennie Garth,26.5,percentage,17.79,4.65,16.7,Safe,,16.99
5,7,Helio Castroneves,26.0,percentage,17.73,4.58,16.7,Safe,,16.67
5,7,Mel B,27.0,percentage,16.72,4.48,16.7,Safe,,17.31
5,7,Marie Osmond,26.0,percentage,18.82,4.87,16.7,Safe,,16.67
5,8,Cameron Mathison,25.5,percentage,13.75,2.52,20.52,Eliminated,,19.39
5,8,Jennie Garth,25.0,percentage,22.06,4.76,20.52,Safe,,19.01
5,8,Helio Castroneves,28.5,percentage,20.97,5.05,20.52,Safe,,21.67
5,8,Mel B,28.0,percentage,20.23,4.77,20.52,Safe,,21.29
5,8,Marie Osmond,24.5,percentage,22.98,4.89,20.52,Safe,,18.63
5,9,Jennie Garth,29.0,percentage,18.43,2.91,23.19,Eliminated,,24.79
5,9,Helio Castroneves,30.0,percentage,26.63,5.0,23.19,Safe,,25.64
5,9,Mel B,30.0,percentage,26.04,4.86,23.19,Safe,,25.64
5,9,Marie Osmond,28.0,percentage,28.9,5.17,23.19,Safe,,23.93
5,10,Helio Castroneves,27.999900000000004,percentage,32.62,6.55,100.0,Safe,,35.29
5,10,Mel B,28.333199999999998,percentage,31.97,6.54,100.0,Safe,,35.71
5,10,Marie Osmond,23.0,percentage,35.41,6.7,100.0,Safe,,28.99
6,1,Cristian de la Fuente,21.0,percentage,8.36,7.69,100.0,Safe,,8.64
6,1,Steve Guttenberg,18.0,percentage,8.33,7.66,100.0,Safe,,7.41
6,1,Priscilla Presley,24.0,percentage,8.37,7.71,100.0,Safe,,9.88
6,1,Marlee Matlin,22.0,percentage,8.35,7.71,100.0,Safe,,9.05
6,1,Shannon Elizabeth,21.0,percentage,8.34,7.65,100.0,Safe,,8.64
6,1,Marissa Jaret Winokur,18.0,percentage,8.31,7.65,100.0,Safe,,7.41
6,1,Jason Taylor,22.0,percentage,8.33,7.68,100.0,Safe,,9.05
6,1,Kristi Yamaguchi,27.0,percentage,8.32,7.63,100.0,Safe,,11.11
6,1,Monica Seles,15.0,percentage,8.32,7.63,100.0,Safe,,6.17
6,1,Penn Jillette,16.0,percentage,8.39,7.69,100.0,Safe,,6.58
6,1,Adam Carolla,15.0,percentage,8.29,7.62,100.0,Safe,,6.17
6,1,Mario,24.0,percentage,8.3,7.62,100.0,Safe,,9.88
6,2,Cristian de la Fuente,20.0,percentage,8.8,3.79,25.15,Safe,,7.78
6,2,Steve Guttenberg,16.0,percentage,9.23,3.61,25.15,Safe,,6.23
6,2,Priscilla Presley,21.0,percentage,8.69,3.81,25.15,Safe,,8.17
6,2,Marlee Matlin,24.0,percentage,8.51,3.87,25.15,Safe,,9.34
6,2,Shannon Elizabeth,24.0,percentage,8.49,3.87,25.15,Safe,,9.34
6,2,Marissa Jaret Winokur,21.0,percentage,8.65,3.78,25.15,Safe,,8.17
6,2,Jason Taylor,27.0,percentage,8.43,3.88,25.15,Safe,,10.51
6,2,Kristi Yamaguchi,27.0,percentage,8.47,3.93,25.15,Safe,,10.51
6,2,Monica Seles,15.0,percentage,4.31,1.4,25.15,Eliminated,,5.84
6,2,Penn Jillette,17.0,percentage,9.15,3.73,25.15,Safe,,6.61
6,2,Adam Carolla,19.0,percentage,8.82,3.77,25.15,Safe,,7.39
6,2,Mario,26.0,percentage,8.45,3.91,25.15,Safe,,10.12
6,3,Cristian de la Fuente,25.0,percentage,10.53,4.09,10.43,Safe,,10.96
6,3,Steve Guttenberg,21.0,percentage,4.89,1.37,10.43,Eliminated,,9.21
6,3,Priscilla Presley,26.0,percentage,10.26,4.08,10.43,Safe,,11.4
6,3,Marlee Matlin,21.0,percentage,10.76,3.84,10.43,Safe,,9.21
6,3,Shannon Elizabeth,24.0,percentage,10.28,3.99,10.43,Safe,,10.53
6,3,Marissa Jaret Winokur,19.0,percentage,11.27,3.83,10.43,Safe,,8.33
6,3,Jason Taylor,23.0,percentage,10.34,3.91,10.43,Safe,,10.09
6,3,Kristi Yamaguchi,27.0,percentage,10.03,4.14,10.43,Safe,,11.84
6,3,Adam Carolla,21.0,percentage,10.94,3.88,10.43,Safe,,9.21
6,3,Mario,21.0,percentage,10.71,3.87,10.43,Safe,,9.21
