celebrity_name,season,start_date,end_date,status
Betsey Johnson,19,2014-09-15,2014-11-25,completed
Michael Waltrip,19,2014-09-15,2014-11-25,completed
Tavis Smiley,19,2014-09-15,2014-11-25,completed
Bethany Mota,19,2014-09-15,2014-11-25,completed
Sadie Robertson,19,2014-09-15,2014-11-25,completed
Suzanne Somers,20,2015-03-16,2015-05-19,completed
Willow Shields,20,2015-03-16,2015-05-19,completed
Riker Lynch,20,2015-03-16,2015-05-19,completed
Rumer Willis,20,2015-03-16,2015-05-19,completed
Nastia Liukin,20,2015-03-16,2015-05-19,completed
Michael Sam,20,2015-03-16,2015-05-19,completed
Robert Herjavec,20,2015-03-16,2015-05-19,completed
Charlotte McKinney,20,2015-03-16,2015-05-19,completed
Noah Galloway,20,2015-03-16,2015-05-19,completed
Redfoo,20,2015-03-16,2015-05-19,completed
Patti LaBelle,20,2015-03-16,2015-05-19,completed
Chris Soules,20,2015-03-16,2015-05-19,completed
Gary Busey,21,2015-09-14,2015-11-24,completed
Alexa PenaVega,21,2015-09-14,2015-11-24,completed
Carlos PenaVega,21,2015-09-14,2015-11-24,completed
Victor Espinoza,21,2015-09-14,2015-11-24,completed
Alek Skarlatos,21,2015-09-14,2015-11-24,completed
Chaka Khan,21,2015-09-14,2015-11-24,completed
Andy Grammer,21,2015-09-14,2015-11-24,completed
Tamar Braxton,21,2015-09-14,2015-11-24,completed
Nick Carter,21,2015-09-14,2015-11-24,completed
Hayes Grier,21,2015-09-14,2015-11-24,completed
Bindi Irwin,21,2015-09-14,2015-11-24,completed
Kim Zolciak-Biermann,21,2015-09-14,2015-11-24,completed
Paula Deen,21,2015-09-14,2015-11-24,completed
Mischa Barton,22,2016-03-21,2016-05-24,completed
Kim Fields,22,2016-03-21,2016-05-24,completed
Jodie Sweetin,22,2016-03-21,2016-05-24,completed
Doug Flutie,22,2016-03-21,2016-05-24,completed
Von Miller,22,2016-03-21,2016-05-24,completed
Antonio Brown,22,2016-03-21,2016-05-24,completed
Paige VanZant,22,2016-03-21,2016-05-24,completed
Geraldo Rivera,22,2016-03-21,2016-05-24,completed
Nyle DiMarco,22,2016-03-21,2016-05-24,completed
Ginger Zee,22,2016-03-21,2016-05-24,completed
Wanya Morris,22,2016-03-21,2016-05-24,completed
Marla Maples,22,2016-03-21,2016-05-24,completed
Jake T. Austin,23,2016-09-12,2016-11-22,completed
Maureen McCormick,23,2016-09-12,2016-11-22,completed
Marilu Henner,23,2016-09-12,2016-11-22,completed
Ryan Lochte,23,2016-09-12,2016-11-22,completed
Calvin Johnson Jr.,23,2016-09-12,2016-11-22,completed
Laurie Hernandez,23,2016-09-12,2016-11-22,completed
Amber Rose,23,2016-09-12,2016-11-22,completed
Rick Perry,23,2016-09-12,2016-11-22,completed
James Hinchcliffe,23,2016-09-12,2016-11-22,completed
Babyface,23,2016-09-12,2016-11-22,completed
Vanilla Ice,23,2016-09-12,2016-11-22,completed
Jana Kramer,23,2016-09-12,2016-11-22,completed
Terra Jole,23,2016-09-12,2016-11-22,completed
Charo,24,2017-03-20,2017-05-23,completed
Mr. T,24,2017-03-20,2017-05-23,completed
Heather Morris,24,2017-03-20,2017-05-23,completed
Nancy Kerrigan,24,2017-03-20,2017-05-23,completed
Bonner Bolton,24,2017-03-20,2017-05-23,completed
Simone Biles,24,2017-03-20,2017-05-23,completed
David Ross,24,2017-03-20,2017-05-23,completed
Rashad Jennings,24,2017-03-20,2017-05-23,completed
Chris Kattan,24,2017-03-20,2017-05-23,completed
Erika Jayne,24,2017-03-20,2017-05-23,completed
Normani,24,2017-03-20,2017-05-23,completed
Nick Viall,24,2017-03-20,2017-05-23,completed
Sasha Pieterse,25,2017-09-18,2017-11-21,completed
Frankie Muniz,25,2017-09-18,2017-11-21,completed
Jordan Fisher,25,2017-09-18,2017-11-21,completed
Derek Fisher,25,2017-09-18,2017-11-21,completed
Nikki Bella,25,2017-09-18,2017-11-21,completed
Terrell Owens,25,2017-09-18,2017-11-21,completed
Victoria Arlen,25,2017-09-18,2017-11-21,completed
Barbara Corcoran,25,2017-09-18,2017-11-21,completed
Lindsey Stirling,25,2017-09-18,2017-11-21,completed
Debbie Gibson,25,2017-09-18,2017-11-21,completed
Nick Lachey,25,2017-09-18,2017-11-21,completed
Drew Scott,25,2017-09-18,2017-11-21,completed
Vanessa Lachey,25,2017-09-18,2017-11-21,completed
Jamie Anderson,26,2018-04-30,2018-05-21,completed
Johnny Damon,26,2018-04-30,2018-05-21,completed
Kareem Abdul-Jabbar,26,2018-04-30,2018-05-21,completed
Arike Ogunbowale,26,2018-04-30,2018-05-21,completed
Jennie Finch Daigle,26,2018-04-30,2018-05-21,completed
Chris Mazdzer,26,2018-04-30,2018-05-21,completed
Mirai Nagasu,26,2018-04-30,2018-05-21,completed
Tonya Harding,26,2018-04-30,2018-05-21,completed
Josh Norman,26,2018-04-30,2018-05-21,completed
Adam Rippon,26,2018-04-30,2018-05-21,completed
Juan Pablo Di Pace,27,2018-09-24,2018-11-19,completed
Evanna Lynch,27,2018-09-24,2018-11-19,completed
Nancy McKeon,27,2018-09-24,2018-11-19,completed
John Schneider,27,2018-09-24,2018-11-19,completed
Milo Manheim,27,2018-09-24,2018-11-19,completed
Danelle Umstead,27,2018-09-24,2018-11-19,completed
Mary Lou Retton,27,2018-09-24,2018-11-19,completed
DeMarcus Ware,27,2018-09-24,2018-11-19,completed
Nikki Glaser,27,2018-09-24,2018-11-19,completed
Bobby Bones,27,2018-09-24,2018-11-19,completed
Tinashe,27,2018-09-24,2018-11-19,completed
Alexis Ren,27,2018-09-24,2018-11-19,completed
Joe Amabile,27,2018-09-24,2018-11-19,completed
Kate Flannery,28,2019-09-16,2019-11-25,completed
James Van Der Beek,28,2019-09-16,2019-11-25,completed
Kel Mitchell,28,2019-09-16,2019-11-25,completed
Ray Lewis,28,2019-09-16,2019-11-25,completed
Lamar Odom,28,2019-09-16,2019-11-25,completed
Sailor Brinkley-Cook,28,2019-09-16,2019-11-25,completed
Sean Spicer,28,2019-09-16,2019-11-25,completed
Mary Wilson,28,2019-09-16,2019-11-25,completed
Lauren Alaina,28,2019-09-16,2019-11-25,completed
Ally Brooke,28,2019-09-16,2019-11-25,completed
Karamo Brown,28,2019-09-16,2019-11-25,completed
Hannah Brown,28,2019-09-16,2019-11-25,completed
Anne Heche,29,2020-09-14,2020-11-23,completed
Jesse Metcalfe,29,2020-09-14,2020-11-23,completed
Chrishell Stause,29,2020-09-14,2020-11-23,completed
Skai Jackson,29,2020-09-14,2020-11-23,completed
Justina Machado,29,2020-09-14,2020-11-23,completed
Charles Oakley,29,2020-09-14,2020-11-23,completed
Veron Davis,29,2020-09-14,2020-11-23,completed
Johnny Weir,29,2020-09-14,2020-11-23,completed
Nev Schulman,29,2020-09-14,2020-11-23,completed
AJ McLean,29,2020-09-14,2020-11-23,completed
Nelly,29,2020-09-14,2020-11-23,completed
Kaitlyn Bristowe,29,2020-09-14,2020-11-23,completed
Carole Baskin,29,2020-09-14,2020-11-23,completed
Monica Aldama,29,2020-09-14,2020-11-23,completed
Jeannie Mai,29,2020-09-14,2020-11-23,completed
Martin Kove,30,2021-09-20,2021-11-22,completed
Brian Austin Green,30,2021-09-20,2021-11-22,completed
Melora Hardin,30,2021-09-20,2021-11-22,completed
Matt James,30,2021-09-20,2021-11-22,completed
"Mike ""The Miz"" Mizanin",30,2021-09-20,2021-11-22,completed
Suni Lee,30,2021-09-20,2021-11-22,completed
Iman Shumpert,30,2021-09-20,2021-11-22,completed
Cody Rigsby,30,2021-09-20,2021-11-22,completed
Melanie C,30,2021-09-20,2021-11-22,completed
Jimmie Allen,30,2021-09-20,2021-11-22,completed
Olivia Jade,30,2021-09-20,2021-11-22,completed
JoJo Siwa,30,2021-09-20,2021-11-22,completed
Christine Chiu,30,2021-09-20,2021-11-22,completed
Kenya Moore,30,2021-09-20,2021-11-22,completed
Amanda Kloots,30,2021-09-20,2021-11-22,completed
Jason Lewis,31,2022-09-19,2022-11-21,completed
Cheryl Ladd,31,2022-09-19,2022-11-21,completed
Selma Blair,31,2022-09-19,2022-11-21,completed
Joseph Baena,31,2022-09-19,2022-11-21,completed
Trevor Donovan,31,2022-09-19,2022-11-21,completed
Daniel Durant,31,2022-09-19,2022-11-21,completed
Wayne Brady,31,2022-09-19,2022-11-21,completed
Sam Champion,31,2022-09-19,2022-11-21,completed
Jessie James Decker,31,2022-09-19,2022-11-21,completed
Jordin Sparks,31,2022-09-19,2022-11-21,completed
Heidi D'Amelio,31,2022-09-19,2022-11-21,completed
Charli D'Amelio,31,2022-09-19,2022-11-21,completed
Teresa Giudice,31,2022-09-19,2022-11-21,completed
Vinny Guadagnino,31,2022-09-19,2022-11-21,completed
Shangela,31,2022-09-19,2022-11-21,completed
Gabby Windey,31,2022-09-19,2022-11-21,completed
Jamie Lynn Spears,32,2023-09-26,2023-12-05,completed
Mira Sorvino,32,2023-09-26,2023-12-05,completed
Barry Williams,32,2023-09-26,2023-12-05,completed
Alyson Hannigan,32,2023-09-26,2023-12-05,completed
Xochitl Gomez,32,2023-09-26,2023-12-05,completed
Adrian Peterson,32,2023-09-26,2023-12-05,completed
Matt Walsh,32,2023-09-26,2023-12-05,completed
Tyson Beckford,32,2023-09-26,2023-12-05,completed
Jason Mraz,32,2023-09-26,2023-12-05,completed
Lele Pons,32,2023-09-26,2023-12-05,completed
Harry Jowsey,32,2023-09-26,2023-12-05,completed
Mauricio Umansky,32,2023-09-26,2023-12-05,completed
Charity Lawson,32,2023-09-26,2023-12-05,completed
Ariana Madix,32,2023-09-26,2023-12-05,completed
Tori Spelling,33,2024-09-17,2024-11-26,completed
Eric Roberts,33,2024-09-17,2024-11-26,completed
Reginald VelJohnson,33,2024-09-17,2024-11-26,completed
Chandler Kinney,33,2024-09-17,2024-11-26,completed
Dwight Howard ,33,2024-09-17,2024-11-26,completed
Danny Amendola,33,2024-09-17,2024-11-26,completed
Stephen Nedoroscik,33,2024-09-17,2024-11-26,completed
Ilona Maher,33,2024-09-17,2024-11-26,completed
Anna Delvey,33,2024-09-17,2024-11-26,completed
Brooks Nader,33,2024-09-17,2024-11-26,completed
Phaedra Parks,33,2024-09-17,2024-11-26,completed
Jenn Tran,33,2024-09-17,2024-11-26,completed
Joey Graziadei,33,2024-09-17,2024-11-26,completed
Corey Feldman,34,2025-09-16,2025-11-25,completed
Danielle Fishel,34,2025-09-16,2025-11-25,completed
Elaine Hendrix,34,2025-09-16,2025-11-25,completed
Baron Davis,34,2025-09-16,2025-11-25,completed
Jordan Chiles,34,2025-09-16,2025-11-25,completed
Andy Richter,34,2025-09-16,2025-11-25,completed
Robert Irwin,34,2025-09-16,2025-11-25,completed
Hilaria Baldwin,34,2025-09-16,2025-11-25,completed
Lauren Jauregui,34,2025-09-16,2025-11-25,completed
Scott Hoying,34,2025-09-16,2025-11-25,completed
Alix Earle,34,2025-09-16,2025-11-25,completed
Jen Affleck,34,2025-09-16,2025-11-25,completed
Whitney Leavitt,34,2025-09-16,2025-11-25,completed
Dylan Efron,34,2025-09-16,2025-11-25,completed
