Season,Week,Celebrity,Judge_Total_Score_Raw,Rule_Mode,Estimated_Fan_Vote_Percent_Mean,Estimated_Fan_Vote_Percent_Std,Acceptance_Rate_Percent,Actual_Result,Judge_Rank_Points,Judge_Percent
3,3,Mario Lopez,22.0,Percentage (Judge% + Fan%),12.05,4.1,9.82,Safe,,10.63
3,3,Emmitt Smith,19.0,Percentage (Judge% + Fan%),12.37,3.79,9.82,Safe,,9.18
3,3,Willa Ford,22.0,Percentage (Judge% + Fan%),11.76,3.98,9.82,Safe,,10.63
3,3,Sara Evans,25.0,Percentage (Judge% + Fan%),12.2,4.42,9.82,Safe,,12.08
3,3,Jerry Springer,21.0,Percentage (Judge% + Fan%),12.8,4.21,9.82,Safe,,10.14
3,4,Vivica A. Fox,24.0,Percentage (Judge% + Fan%),6.32,1.7,17.74,Eliminated,,12.12
3,4,Monique Coleman,24.0,Percentage (Judge% + Fan%),12.59,4.08,17.74,Safe,,12.12
3,4,Joey Lawrence,27.0,Percentage (Judge% + Fan%),12.54,4.32,17.74,Safe,,13.64
3,4,Mario Lopez,29.0,Percentage (Judge% + Fan%),12.96,4.58,17.74,Safe,,14.65
3,4,Emmitt Smith,24.0,Percentage (Judge% + Fan%),13.81,4.37,17.74,Safe,,12.12
3,4,Willa Ford,28.0,Percentage (Judge% + Fan%),12.73,4.47,17.74,Safe,,14.14
3,4,Sara Evans,20.0,Percentage (Judge% + Fan%),14.5,4.13,17.74,Safe,,10.1
3,4,Jerry Springer,22.0,Percentage (Judge% + Fan%),14.55,4.36,17.74,Safe,,11.11
3,5,Monique Coleman,27.0,Percentage (Judge% + Fan%),14.41,4.27,13.5,Safe,,14.92
3,5,Joey Lawrence,25.0,Percentage (Judge% + Fan%),14.94,4.2,13.5,Safe,,13.81
3,5,Mario Lopez,27.0,Percentage (Judge% + Fan%),14.66,4.35,13.5,Safe,,14.92
3,5,Emmitt Smith,27.0,Percentage (Judge% + Fan%),15.46,4.57,13.5,Safe,,14.92
3,5,Willa Ford,27.0,Percentage (Judge% + Fan%),7.43,1.77,13.5,Eliminated,,14.92
3,5,Sara Evans,24.0,Percentage (Judge% + Fan%),16.53,4.52,13.5,Safe,,13.26
3,5,Jerry Springer,24.0,Percentage (Judge% + Fan%),16.58,4.55,13.5,Safe,,13.26
3,6,Monique Coleman,23.0,Percentage (Judge% + Fan%),18.92,5.49,100.0,Safe,,19.49
3,6,Joey Lawrence,24.0,Percentage (Judge% + Fan%),19.66,5.57,100.0,Safe,,20.34
3,6,Mario Lopez,28.0,Percentage (Judge% + Fan%),19.27,5.52,100.0,Safe,,23.73
3,6,Emmitt Smith,25.0,Percentage (Judge% + Fan%),20.34,5.64,100.0,Safe,,21.19
3,6,Jerry Springer,18.0,Percentage (Judge% + Fan%),21.82,5.78,100.0,Safe,,15.25
3,7,Monique Coleman,27.0,Percentage (Judge% + Fan%),20.86,4.83,27.22,Safe,,20.0
3,7,Joey Lawrence,28.5,Percentage (Judge% + Fan%),21.06,5.05,27.22,Safe,,21.11
3,7,Mario Lopez,28.0,Percentage (Judge% + Fan%),20.9,4.95,27.22,Safe,,20.74
3,7,Emmitt Smith,28.5,Percentage (Judge% + Fan%),21.59,5.16,27.22,Safe,,21.11
3,7,Jerry Springer,23.0,Percentage (Judge% + Fan%),15.59,2.77,27.22,Eliminated,,17.04
3,8,Monique Coleman,26.5,Percentage (Judge% + Fan%),18.47,3.06,30.39,Eliminated,,24.31
3,8,Joey Lawrence,27.0,Percentage (Judge% + Fan%),27.28,5.09,30.39,Safe,,24.77
3,8,Mario Lopez,28.5,Percentage (Judge% + Fan%),26.55,5.19,30.39,Safe,,26.15
3,8,Emmitt Smith,27.0,Percentage (Judge% + Fan%),27.7,5.17,30.39,Safe,,24.77
3,9,Joey Lawrence,29.5,Percentage (Judge% + Fan%),33.44,6.63,100.0,Safe,,33.33
3,9,Mario Lopez,29.5,Percentage (Judge% + Fan%),32.57,6.54,100.0,Safe,,33.33
3,9,Emmitt Smith,29.5,Percentage (Judge% + Fan%),33.99,6.62,100.0,Safe,,33.33
3,10,Mario Lopez,29.666600000000003,Percentage (Judge% + Fan%),48.94,7.0,100.0,Safe,,50.0
3,10,Emmitt Smith,29.666600000000003,Percentage (Judge% + Fan%),51.06,7.0,100.0,Safe,,50.0
4,1,John Ratzenberger,17.0,Percentage (Judge% + Fan%),9.13,8.31,100.0,Safe,,8.25
4,1,Ian Ziering,21.0,Percentage (Judge% + Fan%),9.12,8.29,100.0,Safe,,10.19
4,1,Clyde Drexler,16.0,Percentage (Judge% + Fan%),9.08,8.29,100.0,Safe,,7.77
4,1,Laila Ali,23.0,Percentage (Judge% + Fan%),9.11,8.32,100.0,Safe,,11.17
4,1,Apolo Anton Ohno,21.0,Percentage (Judge% + Fan%),9.1,8.29,100.0,Safe,,10.19
4,1,Shandi Finnessey,19.0,Percentage (Judge% + Fan%),9.07,8.29,100.0,Safe,,9.22
4,1,Paulina Porizkova,19.0,Percentage (Judge% + Fan%),9.1,8.33,100.0,Safe,,9.22
4,1,Heather Mills,18.0,Percentage (Judge% + Fan%),9.08,8.28,100.0,Safe,,8.74
4,1,Billy Ray Cyrus,13.0,Percentage (Judge% + Fan%),9.1,8.29,100.0,Safe,,6.31
4,1,Joey Fatone,24.0,Percentage (Judge% + Fan%),9.05,8.27,100.0,Safe,,11.65
4,1,Leeza Gibbons,15.0,Percentage (Judge% + Fan%),9.07,8.26,100.0,Safe,,7.28
4,2,John Ratzenberger,21.0,Percentage (Judge% + Fan%),9.76,3.79,10.66,Safe,,8.57
4,2,Ian Ziering,22.0,Percentage (Judge% + Fan%),9.62,3.84,10.66,Safe,,8.98
4,2,Clyde Drexler,18.0,Percentage (Judge% + Fan%),10.23,3.66,10.66,Safe,,7.35
4,2,Laila Ali,27.0,Percentage (Judge% + Fan%),9.26,3.98,10.66,Safe,,11.02
4,2,Apolo Anton Ohno,26.0,Percentage (Judge% + Fan%),9.2,3.95,10.66,Safe,,10.61
4,2,Shandi Finnessey,20.0,Percentage (Judge% + Fan%),9.87,3.67,10.66,Safe,,8.16
4,2,Paulina Porizkova,21.0,Percentage (Judge% + Fan%),3.9,1.2,10.66,Eliminated,,8.57
4,2,Heather Mills,24.0,Percentage (Judge% + Fan%),9.4,3.95,10.66,Safe,,9.8
4,2,Billy Ray Cyrus,21.0,Percentage (Judge% + Fan%),9.75,3.83,10.66,Safe,,8.57
4,2,Joey Fatone,24.0,Percentage (Judge% + Fan%),9.29,3.84,10.66,Safe,,9.8
4,2,Leeza Gibbons,21.0,Percentage (Judge% + Fan%),9.73,3.75,10.66,Safe,,8.57
4,3,John Ratzenberger,20.0,Percentage (Judge% + Fan%),10.98,3.85,10.05,Safe,,9.17
4,3,Ian Ziering,24.0,Percentage (Judge% + Fan%),10.34,4.07,10.05,Safe,,11.01
4,3,Clyde Drexler,16.0,Percentage (Judge% + Fan%),12.18,3.85,10.05,Safe,,7.34
4,3,Laila Ali,21.0,Percentage (Judge% + Fan%),10.44,3.86,10.05,Safe,,9.63
4,3,Apolo Anton Ohno,23.0,Percentage (Judge% + Fan%),10.05,3.86,10.05,Safe,,10.55
4,3,Shandi Finnessey,21.0,Percentage (Judge% + Fan%),4.58,1.33,10.05,Eliminated,,9.63
4,3,Heather Mills,24.0,Percentage (Judge% + Fan%),10.09,4.03,10.05,Safe,,11.01
4,3,Billy Ray Cyrus,21.0,Percentage (Judge% + Fan%),10.86,3.97,10.05,Safe,,9.63
4,3,Joey Fatone,24.0,Percentage (Judge% + Fan%),10.09,4.02,10.05,Safe,,11.01
4,3,Leeza Gibbons,24.0,Percentage (Judge% + Fan%),10.39,4.09,10.05,Safe,,11.01
4,4,John Ratzenberger,16.0,Percentage (Judge% + Fan%),12.83,4.12,28.82,Safe,,8.42
4,4,Ian Ziering,24.0,Percentage (Judge% + Fan%),11.11,4.31,28.82,Safe,,12.63
4,4,Clyde Drexler,15.0,Percentage (Judge% + Fan%),13.91,4.31,28.82,Safe,,7.89
4,4,Laila Ali,21.0,Percentage (Judge% + Fan%),11.49,4.21,28.82,Safe,,11.05
4,4,Apolo Anton Ohno,26.0,Percentage (Judge% + Fan%),10.67,4.27,28.82,Safe,,13.68
4,4,Heather Mills,23.0,Percentage (Judge% + Fan%),10.94,4.2,28.82,Safe,,12.11
4,4,Billy Ray Cyrus,21.0,Percentage (Judge% + Fan%),11.8,4.27,28.82,Safe,,11.05
4,4,Joey Fatone,28.0,Percentage (Judge% + Fan%),10.69,4.29,28.82,Safe,,14.74
4,4,Leeza Gibbons,16.0,Percentage (Judge% + Fan%),6.55,1.84,28.82,Eliminated,,8.42
4,5,John Ratzenberger,18.0,Percentage (Judge% + Fan%),14.82,4.56,28.63,Safe,,10.23
4,5,Ian Ziering,24.0,Percentage (Judge% + Fan%),12.43,4.46,28.63,Safe,,13.64
4,5,Clyde Drexler,13.0,Percentage (Judge% + Fan%),9.75,2.25,28.63,Eliminated,,7.39
4,5,Laila Ali,28.0,Percentage (Judge% + Fan%),12.58,4.66,28.63,Safe,,15.91
4,5,Apolo Anton Ohno,30.0,Percentage (Judge% + Fan%),11.64,4.46,28.63,Safe,,17.05
4,5,Heather Mills,21.0,Percentage (Judge% + Fan%),12.67,4.28,28.63,Safe,,11.93
4,5,Billy Ray Cyrus,17.0,Percentage (Judge% + Fan%),14.2,4.27,28.63,Safe,,9.66
4,5,Joey Fatone,25.0,Percentage (Judge% + Fan%),11.9,4.41,28.63,Safe,,14.2
4,6,John Ratzenberger,19.0,Percentage (Judge% + Fan%),18.03,4.59,19.58,Safe,,11.18
4,6,Ian Ziering,24.0,Percentage (Judge% + Fan%),14.9,4.36,19.58,Safe,,14.12
4,6,Laila Ali,28.0,Percentage (Judge% + Fan%),14.4,4.65,19.58,Safe,,16.47
4,6,Apolo Anton Ohno,28.0,Percentage (Judge% + Fan%),13.41,4.41,19.58,Safe,,16.47
4,6,Heather Mills,23.0,Percentage (Judge% + Fan%),8.33,1.97,19.58,Eliminated,,13.53
4,6,Billy Ray Cyrus,21.0,Percentage (Judge% + Fan%),17.05,4.6,19.58,Safe,,12.35
4,6,Joey Fatone,27.0,Percentage (Judge% + Fan%),13.9,4.46,19.58,Safe,,15.88
4,7,John Ratzenberger,22.5,Percentage (Judge% + Fan%),12.12,2.25,13.55,Eliminated,,14.56
4,7,Ian Ziering,27.0,Percentage (Judge% + Fan%),17.53,4.7,13.55,Safe,,17.48
4,7,Laila Ali,29.5,Percentage (Judge% + Fan%),16.59,4.77,13.55,Safe,,19.09
4,7,Apolo Anton Ohno,27.0,Percentage (Judge% + Fan%),16.26,4.37,13.55,Safe,,17.48
4,7,Billy Ray Cyrus,19.0,Percentage (Judge% + Fan%),21.39,4.55,13.55,Safe,,12.3
4,7,Joey Fatone,29.5,Percentage (Judge% + Fan%),16.11,4.65,13.55,Safe,,19.09
4,8,Ian Ziering,23.5,Percentage (Judge% + Fan%),22.32,4.87,24.71,Safe,,18.73
4,8,Laila Ali,26.5,Percentage (Judge% + Fan%),20.61,4.94,24.71,Safe,,21.12
4,8,Apolo Anton Ohno,29.0,Percentage (Judge% + Fan%),19.67,5.02,24.71,Safe,,23.11
4,8,Billy Ray Cyrus,19.0,Percentage (Judge% + Fan%),17.47,2.86,24.71,Eliminated,,15.14
4,8,Joey Fatone,27.5,Percentage (Judge% + Fan%),19.93,4.94,24.71,Safe,,21.91
4,9,Ian Ziering,29.0,Percentage (Judge% + Fan%),19.06,2.86,18.06,Eliminated,,24.47
4,9,Laila Ali,30.0,Percentage (Judge% + Fan%),27.29,4.95,18.06,Safe,,25.32
4,9,Apolo Anton Ohno,29.5,Percentage (Judge% + Fan%),26.86,4.76,18.06,Safe,,24.89
4,9,Joey Fatone,30.0,Percentage (Judge% + Fan%),26.79,4.83,18.06,Safe,,25.32
4,10,Laila Ali,28.333200000000005,Percentage (Judge% + Fan%),33.74,6.65,100.0,Safe,,32.82
4,10,Apolo Anton Ohno,29.3332,Percentage (Judge% + Fan%),33.21,6.6,100.0,Safe,,33.98
4,10,Joey Fatone,28.6665,Percentage (Judge% + Fan%),33.05,6.6,100.0,Safe,,33.2
5,1,Cameron Mathison,21.0,Percentage (Judge% + Fan%),8.96,7.96,25.6,Safe,,8.17
5,1,Jane Seymour,24.0,Percentage (Judge% + Fan%),8.84,8.03,25.6,Safe,,9.34
5,1,Sabrina Bryan,26.0,Percentage (Judge% + Fan%),8.67,7.95,25.6,Safe,,10.12
5,1,Jennie Garth,21.0,Percentage (Judge% + Fan%),8.93,7.96,25.6,Safe,,8.17
5,1,Floyd Mayweather Jr. ,18.0,Percentage (Judge% + Fan%),9.56,8.05,25.6,Safe,,7.0
5,1,Josie Maran,16.0,Percentage (Judge% + Fan%),1.43,1.03,25.6,Eliminated,,6.23
5,1,Albert Reed,21.0,Percentage (Judge% + Fan%),8.97,7.98,25.6,Safe,,8.17
5,1,Helio Castroneves,25.0,Percentage (Judge% + Fan%),8.67,7.97,25.6,Safe,,9.73
5,1,Mel B,24.0,Percentage (Judge% + Fan%),8.78,8.01,25.6,Safe,,9.34
5,1,Wayne Newton,19.0,Percentage (Judge% + Fan%),9.22,7.96,25.6,Safe,,7.39
5,1,Marie Osmond,21.0,Percentage (Judge% + Fan%),8.99,8.01,25.6,Safe,,8.17
5,1,Mark Cuban,21.0,Percentage (Judge% + Fan%),8.96,7.95,25.6,Safe,,8.17
5,2,Cameron Mathison,21.0,Percentage (Judge% + Fan%),9.64,3.78,8.57,Safe,,8.82
5,2,Jane Seymour,21.0,Percentage (Judge% + Fan%),9.51,3.75,8.57,Safe,,8.82
5,2,Sabrina Bryan,26.0,Percentage (Judge% + Fan%),8.91,3.85,8.57,Safe,,10.92
5,2,Jennie Garth,21.0,Percentage (Judge% + Fan%),9.61,3.74,8.57,Safe,,8.82
5,2,Floyd Mayweather Jr. ,21.0,Percentage (Judge% + Fan%),10.06,3.9,8.57,Safe,,8.82
5,2,Albert Reed,21.0,Percentage (Judge% + Fan%),3.77,1.17,8.57,Eliminated,,8.82
5,2,Helio Castroneves,27.0,Percentage (Judge% + Fan%),8.77,3.86,8.57,Safe,,11.34
5,2,Mel B,23.0,Percentage (Judge% + Fan%),9.23,3.85,8.57,Safe,,9.66
5,2,Wayne Newton,15.0,Percentage (Judge% + Fan%),11.02,3.56,8.57,Safe,,6.3
5,2,Marie Osmond,24.0,Percentage (Judge% + Fan%),9.28,3.88,8.57,Safe,,10.08
5,2,Mark Cuban,18.0,Percentage (Judge% + Fan%),10.19,3.61,8.57,Safe,,7.56
5,3,Cameron Mathison,23.0,Percentage (Judge% + Fan%),10.77,4.1,17.87,Safe,,9.62
5,3,Jane Seymour,27.0,Percentage (Judge% + Fan%),10.3,4.21,17.87,Safe,,11.3
5,3,Sabrina Bryan,27.0,Percentage (Judge% + Fan%),9.64,3.97,17.87,Safe,,11.3
5,3,Jennie Garth,26.0,Percentage (Judge% + Fan%),10.37,4.12,17.87,Safe,,10.88
5,3,Floyd Mayweather Jr. ,21.0,Percentage (Judge% + Fan%),11.32,4.05,17.87,Safe,,8.79
5,3,Helio Castroneves,24.0,Percentage (Judge% + Fan%),9.85,3.88,17.87,Safe,,10.04
5,3,Mel B,27.0,Percentage (Judge% + Fan%),10.0,4.12,17.87,Safe,,11.3
5,3,Wayne Newton,18.0,Percentage (Judge% + Fan%),6.06,1.58,17.87,Eliminated,,7.53
5,3,Marie Osmond,26.0,Percentage (Judge% + Fan%),10.09,4.06,17.87,Safe,,10.88
5,3,Mark Cuban,20.0,Percentage (Judge% + Fan%),11.59,4.09,17.87,Safe,,8.37
5,4,Cameron Mathison,27.0,Percentage (Judge% + Fan%),12.07,4.33,14.04,Safe,,11.54
5,4,Jane Seymour,26.0,Percentage (Judge% + Fan%),11.76,4.15,14.04,Safe,,11.11
5,4,Sabrina Bryan,30.0,Percentage (Judge% + Fan%),10.63,4.1,14.04,Safe,,12.82
5,4,Jennie Garth,27.0,Percentage (Judge% + Fan%),11.69,4.23,14.04,Safe,,11.54
5,4,Floyd Mayweather Jr. ,23.0,Percentage (Judge% + Fan%),6.2,1.57,14.04,Eliminated,,9.83
5,4,Helio Castroneves,27.0,Percentage (Judge% + Fan%),11.2,4.04,14.04,Safe,,11.54
5,4,Mel B,26.0,Percentage (Judge% + Fan%),11.47,4.1,14.04,Safe,,11.11
5,4,Marie Osmond,26.0,Percentage (Judge% + Fan%),11.57,4.09,14.04,Safe,,11.11
5,4,Mark Cuban,22.0,Percentage (Judge% + Fan%),13.4,4.27,14.04,Safe,,9.4
5,5,Cameron Mathison,26.0,Percentage (Judge% + Fan%),13.53,4.46,14.01,Safe,,13.07
5,5,Jane Seymour,26.0,Percentage (Judge% + Fan%),13.23,4.42,14.01,Safe,,13.07
5,5,Sabrina Bryan,28.0,Percentage (Judge% + Fan%),11.94,4.23,14.01,Safe,,14.07
5,5,Jennie Garth,25.0,Percentage (Judge% + Fan%),13.35,4.34,14.01,Safe,,12.56
5,5,Helio Castroneves,23.0,Percentage (Judge% + Fan%),13.31,4.15,14.01,Safe,,11.56
5,5,Mel B,29.0,Percentage (Judge% + Fan%),12.68,4.5,14.01,Safe,,14.57
