Season,Week,Name,Judge_Raw_Score,Judge_Percent,Est_Fan_Percent_Mean,Est_Fan_Percent_Std,Acceptance_Rate,Actual_Result
3,6,Jerry Springer,18.0,15.25,21.83,5.78,100.0,Safe
3,7,Monique Coleman,27.0,20.0,21.02,4.85,27.06,Safe
3,7,Joey Lawrence,28.5,21.11,20.98,5.01,27.06,Safe
3,7,Mario Lopez,28.0,20.74,20.92,4.94,27.06,Safe
3,7,Emmitt Smith,28.5,21.11,21.53,5.16,27.06,Safe
3,7,Jerry Springer,23.0,17.04,15.56,2.78,27.06,Eliminated
3,8,Monique Coleman,26.5,24.31,18.56,3.07,29.21,Eliminated
3,8,Joey Lawrence,27.0,24.77,27.18,5.06,29.21,Safe
3,8,Mario Lopez,28.5,26.15,26.61,5.17,29.21,Safe
3,8,Emmitt Smith,27.0,24.77,27.65,5.13,29.21,Safe
3,9,Joey Lawrence,29.5,33.33,33.37,6.6,100.0,Safe
3,9,Mario Lopez,29.5,33.33,32.64,6.56,100.0,Safe
3,9,Emmitt Smith,29.5,33.33,33.99,6.63,100.0,Safe
3,10,Mario Lopez,29.666600000000003,50.0,48.97,6.99,100.0,Safe
3,10,Emmitt Smith,29.666600000000003,50.0,51.03,6.99,100.0,Safe
4,1,John Ratzenberger,17.0,8.25,9.07,8.3,100.0,Safe
4,1,Ian Ziering,21.0,10.19,9.08,8.3,100.0,Safe
4,1,Clyde Drexler,16.0,7.77,9.09,8.34,100.0,Safe
4,1,Laila Ali,23.0,11.17,9.05,8.25,100.0,Safe
4,1,Apolo Anton Ohno,21.0,10.19,9.08,8.28,100.0,Safe
4,1,Shandi Finnessey,19.0,9.22,9.12,8.31,100.0,Safe
4,1,Paulina Porizkova,19.0,9.22,9.09,8.32,100.0,Safe
4,1,Heather Mills,18.0,8.74,9.11,8.3,100.0,Safe
4,1,Billy Ray Cyrus,13.0,6.31,9.11,8.32,100.0,Safe
4,1,Joey Fatone,24.0,11.65,9.11,8.34,100.0,Safe
4,1,Leeza Gibbons,15.0,7.28,9.08,8.29,100.0,Safe
4,2,John Ratzenberger,21.0,8.57,9.74,3.8,10.79,Safe
4,2,Ian Ziering,22.0,8.98,9.56,3.82,10.79,Safe
4,2,Clyde Drexler,18.0,7.35,10.29,3.64,10.79,Safe
4,2,Laila Ali,27.0,11.02,9.16,3.96,10.79,Safe
4,2,Apolo Anton Ohno,26.0,10.61,9.23,3.96,10.79,Safe
4,2,Shandi Finnessey,20.0,8.16,9.95,3.77,10.79,Safe
4,2,Paulina Porizkova,21.0,8.57,3.92,1.21,10.79,Eliminated
4,2,Heather Mills,24.0,9.8,9.33,3.85,10.79,Safe
4,2,Billy Ray Cyrus,21.0,8.57,9.72,3.75,10.79,Safe
4,2,Joey Fatone,24.0,9.8,9.35,3.87,10.79,Safe
4,2,Leeza Gibbons,21.0,8.57,9.75,3.79,10.79,Safe
4,3,John Ratzenberger,20.0,9.17,10.89,3.83,9.62,Safe
4,3,Ian Ziering,24.0,11.01,10.27,4.08,9.62,Safe
4,3,Clyde Drexler,16.0,7.34,12.32,3.85,9.62,Safe
4,3,Laila Ali,21.0,9.63,10.37,3.82,9.62,Safe
4,3,Apolo Anton Ohno,23.0,10.55,10.1,3.85,9.62,Safe
4,3,Shandi Finnessey,21.0,9.63,4.6,1.31,9.62,Eliminated
4,3,Heather Mills,24.0,11.01,10.03,3.98,9.62,Safe
4,3,Billy Ray Cyrus,21.0,9.63,10.86,3.89,9.62,Safe
4,3,Joey Fatone,24.0,11.01,10.08,3.98,9.62,Safe
4,3,Leeza Gibbons,24.0,11.01,10.48,4.14,9.62,Safe
4,4,John Ratzenberger,16.0,8.42,12.72,4.08,27.91,Safe
4,4,Ian Ziering,24.0,12.63,11.02,4.28,27.91,Safe
4,4,Clyde Drexler,15.0,7.89,14.08,4.32,27.91,Safe
4,4,Laila Ali,21.0,11.05,11.42,4.17,27.91,Safe
4,4,Apolo Anton Ohno,26.0,13.68,10.74,4.27,27.91,Safe
4,4,Heather Mills,23.0,12.11,10.87,4.19,27.91,Safe
4,4,Billy Ray Cyrus,21.0,11.05,11.88,4.33,27.91,Safe
4,4,Joey Fatone,28.0,14.74,10.67,4.32,27.91,Safe
4,4,Leeza Gibbons,16.0,8.42,6.6,1.85,27.91,Eliminated
4,5,John Ratzenberger,18.0,10.23,14.76,4.53,27.15,Safe
4,5,Ian Ziering,24.0,13.64,12.39,4.43,27.15,Safe
4,5,Clyde Drexler,13.0,7.39,9.79,2.22,27.15,Eliminated
4,5,Laila Ali,28.0,15.91,12.5,4.57,27.15,Safe
4,5,Apolo Anton Ohno,30.0,17.05,11.73,4.53,27.15,Safe
4,5,Heather Mills,21.0,11.93,12.62,4.31,27.15,Safe
4,5,Billy Ray Cyrus,17.0,9.66,14.29,4.32,27.15,Safe
4,5,Joey Fatone,25.0,14.2,11.92,4.39,27.15,Safe
4,6,John Ratzenberger,19.0,11.18,17.99,4.54,19.85,Safe
4,6,Ian Ziering,24.0,14.12,14.84,4.33,19.85,Safe
4,6,Laila Ali,28.0,16.47,14.33,4.6,19.85,Safe
4,6,Apolo Anton Ohno,28.0,16.47,13.58,4.44,19.85,Safe
4,6,Heather Mills,23.0,13.53,8.31,1.97,19.85,Eliminated
4,6,Billy Ray Cyrus,21.0,12.35,17.08,4.59,19.85,Safe
4,6,Joey Fatone,27.0,15.88,13.86,4.4,19.85,Safe
4,7,John Ratzenberger,22.5,14.56,12.12,2.26,13.58,Eliminated
4,7,Ian Ziering,27.0,17.48,17.48,4.68,13.58,Safe
4,7,Laila Ali,29.5,19.09,16.48,4.71,13.58,Safe
4,7,Apolo Anton Ohno,27.0,17.48,16.43,4.43,13.58,Safe
4,7,Billy Ray Cyrus,19.0,12.3,21.41,4.54,13.58,Safe
4,7,Joey Fatone,29.5,19.09,16.07,4.67,13.58,Safe
4,8,Ian Ziering,23.5,18.73,22.33,4.92,24.4,Safe
4,8,Laila Ali,26.5,21.12,20.48,4.95,24.4,Safe
4,8,Apolo Anton Ohno,29.0,23.11,19.9,5.13,24.4,Safe
4,8,Billy Ray Cyrus,19.0,15.14,17.43,2.84,24.4,Eliminated
4,8,Joey Fatone,27.5,21.91,19.86,4.94,24.4,Safe
4,9,Ian Ziering,29.0,24.47,19.07,2.84,17.92,Eliminated
4,9,Laila Ali,30.0,25.32,27.24,4.99,17.92,Safe
4,9,Apolo Anton Ohno,29.5,24.89,26.94,4.83,17.92,Safe
4,9,Joey Fatone,30.0,25.32,26.75,4.85,17.92,Safe
4,10,Laila Ali,28.333200000000005,32.82,33.68,6.61,100.0,Safe
4,10,Apolo Anton Ohno,29.3332,33.98,33.31,6.59,100.0,Safe
4,10,Joey Fatone,28.6665,33.2,33.01,6.6,100.0,Safe
5,1,Cameron Mathison,21.0,8.17,8.95,8.0,25.95,Safe
5,1,Jane Seymour,24.0,9.34,8.77,7.97,25.95,Safe
5,1,Sabrina Bryan,26.0,10.12,8.73,7.93,25.95,Safe
5,1,Jennie Garth,21.0,8.17,8.87,7.86,25.95,Safe
5,1,Floyd Mayweather Jr. ,18.0,7.0,9.51,7.99,25.95,Safe
5,1,Josie Maran,16.0,6.23,1.45,1.04,25.95,Eliminated
5,1,Albert Reed,21.0,8.17,8.97,8.03,25.95,Safe
5,1,Helio Castroneves,25.0,9.73,8.71,8.01,25.95,Safe
5,1,Mel B,24.0,9.34,8.8,8.06,25.95,Safe
5,1,Wayne Newton,19.0,7.39,9.31,8.02,25.95,Safe
5,1,Marie Osmond,21.0,8.17,9.03,8.06,25.95,Safe
5,1,Mark Cuban,21.0,8.17,8.89,7.92,25.95,Safe
5,2,Cameron Mathison,21.0,8.82,9.63,3.76,8.77,Safe
5,2,Jane Seymour,21.0,8.82,9.48,3.72,8.77,Safe
5,2,Sabrina Bryan,26.0,10.92,8.92,3.89,8.77,Safe
5,2,Jennie Garth,21.0,8.82,9.57,3.77,8.77,Safe
5,2,Floyd Mayweather Jr. ,21.0,8.82,10.05,3.93,8.77,Safe
5,2,Albert Reed,21.0,8.82,3.71,1.17,8.77,Eliminated
5,2,Helio Castroneves,27.0,11.34,8.89,3.93,8.77,Safe
5,2,Mel B,23.0,9.66,9.21,3.82,8.77,Safe
5,2,Wayne Newton,15.0,6.3,11.12,3.58,8.77,Safe
5,2,Marie Osmond,24.0,10.08,9.3,3.87,8.77,Safe
5,2,Mark Cuban,18.0,7.56,10.11,3.59,8.77,Safe
5,3,Cameron Mathison,23.0,9.62,10.73,4.02,17.44,Safe
5,3,Jane Seymour,27.0,11.3,10.2,4.14,17.44,Safe
5,3,Sabrina Bryan,27.0,11.3,9.65,4.02,17.44,Safe
5,3,Jennie Garth,26.0,10.88,10.37,4.16,17.44,Safe
5,3,Floyd Mayweather Jr. ,21.0,8.79,11.38,4.07,17.44,Safe
5,3,Helio Castroneves,24.0,10.04,9.93,3.92,17.44,Safe
5,3,Mel B,27.0,11.3,9.98,4.09,17.44,Safe
5,3,Wayne Newton,18.0,7.53,6.11,1.57,17.44,Eliminated
5,3,Marie Osmond,26.0,10.88,10.07,4.06,17.44,Safe
5,3,Mark Cuban,20.0,8.37,11.59,4.03,17.44,Safe
5,4,Cameron Mathison,27.0,11.54,11.97,4.27,13.74,Safe
5,4,Jane Seymour,26.0,11.11,11.62,4.09,13.74,Safe
5,4,Sabrina Bryan,30.0,12.82,10.71,4.1,13.74,Safe
5,4,Jennie Garth,27.0,11.54,11.63,4.22,13.74,Safe
5,4,Floyd Mayweather Jr. ,23.0,9.83,6.21,1.58,13.74,Eliminated
5,4,Helio Castroneves,27.0,11.54,11.27,4.06,13.74,Safe
5,4,Mel B,26.0,11.11,11.56,4.12,13.74,Safe
5,4,Marie Osmond,26.0,11.11,11.58,4.09,13.74,Safe
5,4,Mark Cuban,22.0,9.4,13.45,4.27,13.74,Safe
5,5,Cameron Mathison,26.0,13.07,13.44,4.47,14.0,Safe
5,5,Jane Seymour,26.0,13.07,13.12,4.41,14.0,Safe
5,5,Sabrina Bryan,28.0,14.07,12.08,4.27,14.0,Safe
5,5,Jennie Garth,25.0,12.56,13.21,4.33,14.0,Safe
5,5,Helio Castroneves,23.0,11.56,13.38,4.14,14.0,Safe
5,5,Mel B,29.0,14.57,12.78,4.52,14.0,Safe
5,5,Marie Osmond,21.0,10.55,14.04,4.1,14.0,Safe
5,5,Mark Cuban,21.0,10.55,7.93,1.78,14.0,Eliminated
5,6,Cameron Mathison,25.0,13.89,15.53,4.5,21.69,Safe
5,6,Jane Seymour,22.0,12.22,15.95,4.26,21.69,Safe
5,6,Sabrina Bryan,25.0,13.89,7.84,1.96,21.69,Eliminated
5,6,Jennie Garth,27.0,15.0,15.01,4.57,21.69,Safe
5,6,Helio Castroneves,28.0,15.56,15.03,4.67,21.69,Safe
5,6,Mel B,30.0,16.67,14.23,4.61,21.69,Safe
5,6,Marie Osmond,23.0,12.78,16.41,4.5,21.69,Safe
5,7,Cameron Mathison,25.5,16.35,18.26,4.68,16.97,Safe
5,7,Jane Seymour,25.0,16.03,10.66,2.17,16.97,Eliminated
5,7,Jennie Garth,26.5,16.99,17.59,4.65,16.97,Safe
5,7,Helio Castroneves,26.0,16.67,17.75,4.66,16.97,Safe
5,7,Mel B,27.0,17.31,16.82,4.51,16.97,Safe
5,7,Marie Osmond,26.0,16.67,18.92,4.89,16.97,Safe
5,8,Cameron Mathison,25.5,19.39,13.71,2.55,20.99,Eliminated
5,8,Jennie Garth,25.0,19.01,21.86,4.67,20.99,Safe
5,8,Helio Castroneves,28.5,21.67,20.96,5.03,20.99,Safe
5,8,Mel B,28.0,21.29,20.36,4.84,20.99,Safe
5,8,Marie Osmond,24.5,18.63,23.11,4.94,20.99,Safe
5,9,Jennie Garth,29.0,24.79,18.39,2.92,24.26,Eliminated
5,9,Helio Castroneves,30.0,25.64,26.58,5.02,24.26,Safe
5,9,Mel B,30.0,25.64,26.07,4.89,24.26,Safe
5,9,Marie Osmond,28.0,23.93,28.96,5.19,24.26,Safe
5,10,Helio Castroneves,27.999900000000004,35.29,32.59,6.56,100.0,Safe
5,10,Mel B,28.333199999999998,35.71,31.93,6.54,100.0,Safe
5,10,Marie Osmond,23.0,28.99,35.48,6.7,100.0,Safe
6,1,Cristian de la Fuente,21.0,8.64,8.34,7.68,100.0,Safe
6,1,Steve Guttenberg,18.0,7.41,8.33,7.67,100.0,Safe
6,1,Priscilla Presley,24.0,9.88,8.31,7.62,100.0,Safe
6,1,Marlee Matlin,22.0,9.05,8.36,7.66,100.0,Safe
6,1,Shannon Elizabeth,21.0,8.64,8.33,7.67,100.0,Safe
6,1,Marissa Jaret Winokur,18.0,7.41,8.31,7.66,100.0,Safe
6,1,Jason Taylor,22.0,9.05,8.34,7.65,100.0,Safe
6,1,Kristi Yamaguchi,27.0,11.11,8.35,7.67,100.0,Safe
6,1,Monica Seles,15.0,6.17,8.32,7.65,100.0,Safe
6,1,Penn Jillette,16.0,6.58,8.34,7.7,100.0,Safe
6,1,Adam Carolla,15.0,6.17,8.34,7.66,100.0,Safe
6,1,Mario,24.0,9.88,8.33,7.68,100.0,Safe
6,2,Cristian de la Fuente,20.0,7.78,8.69,3.72,24.99,Safe
6,2,Steve Guttenberg,16.0,6.23,9.3,3.71,24.99,Safe
6,2,Priscilla Presley,21.0,8.17,8.66,3.81,24.99,Safe
6,2,Marlee Matlin,24.0,9.34,8.56,3.89,24.99,Safe
6,2,Shannon Elizabeth,24.0,9.34,8.52,3.89,24.99,Safe
6,2,Marissa Jaret Winokur,21.0,8.17,8.64,3.79,24.99,Safe
6,2,Jason Taylor,27.0,10.51,8.48,3.91,24.99,Safe
6,2,Kristi Yamaguchi,27.0,10.51,8.45,3.92,24.99,Safe
6,2,Monica Seles,15.0,5.84,4.3,1.4,24.99,Eliminated
6,2,Penn Jillette,17.0,6.61,9.09,3.69,24.99,Safe
6,2,Adam Carolla,19.0,7.39,8.83,3.75,24.99,Safe
6,2,Mario,26.0,10.12,8.5,3.93,24.99,Safe
6,3,Cristian de la Fuente,25.0,10.96,10.32,4.09,10.43,Safe
6,3,Steve Guttenberg,21.0,9.21,4.91,1.35,10.43,Eliminated
6,3,Priscilla Presley,26.0,11.4,10.2,4.09,10.43,Safe
6,3,Marlee Matlin,21.0,9.21,10.82,3.87,10.43,Safe
6,3,Shannon Elizabeth,24.0,10.53,10.34,3.97,10.43,Safe
6,3,Marissa Jaret Winokur,19.0,8.33,11.29,3.81,10.43,Safe
6,3,Jason Taylor,23.0,10.09,10.4,3.93,10.43,Safe
6,3,Kristi Yamaguchi,27.0,11.84,10.01,4.08,10.43,Safe
6,3,Adam Carolla,21.0,9.21,10.99,3.93,10.43,Safe
6,3,Mario,21.0,9.21,10.7,3.82,10.43,Safe
6,4,Cristian de la Fuente,26.0,11.56,11.4,4.23,26.46,Safe
6,4,Priscilla Presley,22.0,9.78,11.86,4.06,26.46,Safe
6,4,Marlee Matlin,24.0,10.67,12.07,4.26,26.46,Safe
6,4,Shannon Elizabeth,28.0,12.44,11.25,4.31,26.46,Safe
6,4,Marissa Jaret Winokur,24.0,10.67,12.5,4.41,26.46,Safe
6,4,Jason Taylor,29.0,12.89,11.23,4.32,26.46,Safe
6,4,Kristi Yamaguchi,29.0,12.89,10.86,4.24,26.46,Safe
6,4,Adam Carolla,19.0,8.44,6.83,1.81,26.46,Eliminated
6,4,Mario,24.0,10.67,11.99,4.26,26.46,Safe
6,5,Cristian de la Fuente,23.0,11.73,13.3,4.26,21.77,Safe
6,5,Priscilla Presley,21.0,10.71,7.43,1.87,21.77,Eliminated
6,5,Marlee Matlin,22.0,11.22,14.08,4.36,21.77,Safe
6,5,Shannon Elizabeth,23.0,11.73,13.2,4.22,21.77,Safe
6,5,Marissa Jaret Winokur,24.0,12.24,14.16,4.57,21.77,Safe
6,5,Jason Taylor,27.0,13.78,12.56,4.38,21.77,Safe
6,5,Kristi Yamaguchi,29.0,14.8,11.98,4.38,21.77,Safe
6,5,Mario,27.0,13.78,13.29,4.55,21.77,Safe
6,6,Cristian de la Fuente,27.0,15.0,15.1,4.64,24.59,Safe
6,6,Marlee Matlin,21.0,11.67,9.71,2.17,24.59,Eliminated
6,6,Shannon Elizabeth,24.0,13.33,15.51,4.45,24.59,Safe
6,6,Marissa Jaret Winokur,26.0,14.44,16.05,4.79,24.59,Safe
6,6,Jason Taylor,24.0,13.33,15.05,4.37,24.59,Safe
6,6,Kristi Yamaguchi,30.0,16.67,13.53,4.55,24.59,Safe
6,6,Mario,28.0,15.56,15.04,4.73,24.59,Safe
6,7,Cristian de la Fuente,23.0,14.89,18.79,4.44,14.72,Safe
6,7,Shannon Elizabeth,25.5,16.5,10.31,2.13,14.72,Eliminated
6,7,Marissa Jaret Winokur,26.0,16.83,18.75,4.85,14.72,Safe
6,7,Jason Taylor,27.5,17.8,17.69,4.8,14.72,Safe
6,7,Kristi Yamaguchi,27.0,17.48,16.5,4.44,14.72,Safe
6,7,Mario,25.5,16.5,17.96,4.55,14.72,Safe
6,8,Cristian de la Fuente,28.5,21.35,21.9,5.17,19.91,Safe
6,8,Marissa Jaret Winokur,25.0,18.73,22.81,4.92,19.91,Safe
6,8,Jason Taylor,26.0,19.48,21.68,4.76,19.91,Safe
6,8,Kristi Yamaguchi,27.5,20.6,20.32,4.68,19.91,Safe
6,8,Mario,26.5,19.85,13.29,2.5,19.91,Eliminated
6,9,Cristian de la Fuente,28.0,25.45,27.38,5.17,25.98,Safe
6,9,Marissa Jaret Winokur,26.0,23.64,19.38,3.05,25.98,Eliminated
6,9,Jason Taylor,27.5,25.0,27.38,5.08,25.98,Safe
6,9,Kristi Yamaguchi,28.5,25.91,25.86,4.91,25.98,Safe
6,10,Cristian de la Fuente,26.0,30.77,33.98,6.62,100.0,Safe
6,10,Jason Taylor,28.5,33.73,33.94,6.61,100.0,Safe
6,10,Kristi Yamaguchi,30.0,35.5,32.08,6.52,100.0,Safe
7,1,Ted McGinley,18.5,7.34,0.77,0.63,7.7,Eliminated
7,1,Cloris Leachman,16.0,6.35,9.25,6.91,7.7,Safe
7,1,Susan Lucci,18.5,7.34,8.35,7.04,7.7,Safe
7,1,Cody Linley,20.5,8.13,7.62,6.83,7.7,Safe
7,1,Misty May-Treanor,21.0,8.33,7.72,6.88,7.7,Safe
7,1,Maurice Greene,19.5,7.74,8.0,6.93,7.7,Safe
7,1,Warren Sapp,21.5,8.53,7.67,7.0,7.7,Safe
7,1,Jeffrey Ross,12.0,4.76,10.97,7.09,7.7,Safe
7,1,Toni Braxton,22.5,8.93,7.48,6.82,7.7,Safe
7,1,Lance Bass,21.5,8.53,7.73,7.07,7.7,Safe
7,1,Kim Kardashian,18.5,7.34,8.28,6.81,7.7,Safe
7,1,Rocco DiSpirito,17.5,6.94,8.68,6.89,7.7,Safe
7,1,Brooke Burke,24.5,9.72,7.48,6.81,7.7,Safe
7,2,Cloris Leachman,15.0,6.79,11.46,4.01,16.49,Safe
7,2,Susan Lucci,21.0,9.5,9.75,3.97,16.49,Safe
7,2,Cody Linley,21.0,9.5,9.02,3.83,16.49,Safe
7,2,Misty May-Treanor,21.0,9.5,9.16,3.85,16.49,Safe
7,2,Maurice Greene,19.0,8.6,9.76,3.87,16.49,Safe
7,2,Warren Sapp,24.0,10.86,8.9,3.9,16.49,Safe
7,2,Toni Braxton,23.0,10.41,8.7,3.86,16.49,Safe
7,2,Lance Bass,20.0,9.05,9.28,3.83,16.49,Safe
7,2,Kim Kardashian,17.0,7.69,4.46,1.33,16.49,Eliminated
7,2,Rocco DiSpirito,16.0,7.24,10.8,3.87,16.49,Safe
7,2,Brooke Burke,24.0,10.86,8.71,3.85,16.49,Safe
7,3,Cloris Leachman,16.0,8.04,13.24,4.75,100.0,Safe
7,3,Susan Lucci,21.0,10.55,11.32,4.46,100.0,Safe
7,3,Cody Linley,21.0,10.55,10.46,4.29,100.0,Safe
7,3,Maurice Greene,24.0,12.06,11.31,4.43,100.0,Safe
7,3,Warren Sapp,25.0,12.56,10.28,4.26,100.0,Safe
7,3,Toni Braxton,22.0,11.06,10.06,4.23,100.0,Safe
7,3,Lance Bass,22.0,11.06,10.75,4.35,100.0,Safe
7,3,Rocco DiSpirito,20.0,10.05,12.51,4.63,100.0,Safe
7,3,Brooke Burke,28.0,14.07,10.07,4.21,100.0,Safe
7,4,Cloris Leachman,22.0,10.84,13.75,4.66,17.09,Safe
7,4,Susan Lucci,24.0,11.82,11.84,4.35,17.09,Safe
7,4,Cody Linley,23.0,11.33,11.22,4.07,17.09,Safe
7,4,Maurice Greene,20.0,9.85,12.4,4.14,17.09,Safe
7,4,Warren Sapp,22.0,10.84,11.22,4.04,17.09,Safe
7,4,Toni Braxton,22.0,10.84,11.07,3.97,17.09,Safe
7,4,Lance Bass,26.0,12.81,11.12,4.29,17.09,Safe
7,4,Rocco DiSpirito,18.0,8.87,6.82,1.68,17.09,Eliminated
7,4,Brooke Burke,26.0,12.81,10.57,4.16,17.09,Safe
7,5,Cloris Leachman,21.0,10.77,15.57,4.66,22.08,Safe
7,5,Susan Lucci,22.0,11.28,13.8,4.29,22.08,Safe
7,5,Cody Linley,28.0,14.36,12.33,4.4,22.08,Safe
7,5,Maurice Greene,27.0,13.85,13.59,4.61,22.08,Safe
7,5,Warren Sapp,25.0,12.82,12.73,4.28,22.08,Safe
7,5,Toni Braxton,22.0,11.28,6.87,1.82,22.08,Eliminated
7,5,Lance Bass,21.0,10.77,13.45,4.1,22.08,Safe
7,5,Brooke Burke,29.0,14.87,11.66,4.32,22.08,Safe
7,6,Cloris Leachman,15.0,9.38,11.46,2.42,31.31,Eliminated
7,6,Susan Lucci,23.0,14.37,15.71,4.82,31.31,Safe
7,6,Cody Linley,23.0,14.37,14.35,4.47,31.31,Safe
7,6,Maurice Greene,21.0,13.12,15.82,4.58,31.31,Safe
7,6,Warren Sapp,25.0,15.62,14.43,4.66,31.31,Safe
7,6,Lance Bass,27.0,16.88,14.95,4.88,31.31,Safe
7,6,Brooke Burke,26.0,16.25,13.27,4.48,31.31,Safe
7,7,Susan Lucci,24.0,16.33,10.5,2.1,12.09,Eliminated
7,7,Cody Linley,22.0,14.97,18.49,4.39,12.09,Safe
7,7,Maurice Greene,25.0,17.01,18.72,4.81,12.09,Safe
7,7,Warren Sapp,21.0,14.29,18.8,4.29,12.09,Safe
7,7,Lance Bass,25.0,17.01,18.06,4.72,12.09,Safe
7,7,Brooke Burke,30.0,20.41,15.43,4.61,12.09,Safe
7,8,Cody Linley,24.0,18.82,22.69,4.99,21.36,Safe
7,8,Maurice Greene,24.0,18.82,14.17,2.58,21.36,Eliminated
7,8,Warren Sapp,27.0,21.18,22.0,5.18,21.36,Safe
7,8,Lance Bass,25.0,19.61,21.99,4.92,21.36,Safe
7,8,Brooke Burke,27.5,21.57,19.15,4.64,21.36,Safe
7,9,Cody Linley,23.0,22.89,19.69,3.12,26.41,Eliminated
7,9,Warren Sapp,24.5,24.38,27.88,5.18,26.41,Safe
7,9,Lance Bass,28.5,28.36,26.63,5.56,26.41,Safe
7,9,Brooke Burke,24.5,24.38,25.8,4.69,26.41,Safe
7,10,Warren Sapp,27.5,32.35,34.69,6.68,100.0,Safe
7,10,Lance Bass,27.5,32.35,33.18,6.6,100.0,Safe
7,10,Brooke Burke,30.0,35.29,32.13,6.56,100.0,Safe
8,1,Gilles Marini,24.0,9.88,7.7,7.12,100.0,Safe
8,1,Denise Richards,18.0,7.41,7.71,7.17,100.0,Safe
8,1,David Alan Grier,19.0,7.82,7.67,7.09,100.0,Safe
8,1,Lawrence Taylor,16.0,6.58,7.67,7.12,100.0,Safe
8,1,Ty Murray,14.0,5.76,7.67,7.11,100.0,Safe
8,1,Shawn Johnson,23.0,9.47,7.7,7.13,100.0,Safe
8,1,Steve Wozniak,13.0,5.35,7.69,7.12,100.0,Safe
8,1,Belinda Carlisle,17.0,7.0,7.7,7.12,100.0,Safe
8,1,Chuck Wicks,20.0,8.23,7.71,7.14,100.0,Safe
8,1,Lil' Kim,21.0,8.64,7.66,7.12,100.0,Safe
